"steps","plot"
7,"Amniota"
3,"Amniota"
11,"Amniota"
15,"Amniota"
2,"Amniota"
8,"Amniota"
5,"Amniota"
7,"Amniota"
2,"Amniota"
15,"Amniota"
4,"Amniota"
1,"Amniota"
6,"Amniota"
3,"Amniota"
3,"Amniota"
12,"Amniota"
11,"Amniota"
2,"Amniota"
3,"Amniota"
5,"Amniota"
4,"Amniota"
2,"Amniota"
10,"Amniota"
7,"Amniota"
8,"Amniota"
1,"Amniota"
6,"Amniota"
4,"Amniota"
4,"Amniota"
2,"Amniota"
2,"Amniota"
4,"Amniota"
4,"Amniota"
13,"Amniota"
4,"Amniota"
2,"Amniota"
2,"Amniota"
3,"Amniota"
4,"Amniota"
6,"Amniota"
3,"Amniota"
7,"Amniota"
5,"Amniota"
2,"Amniota"
1,"Amniota"
7,"Amniota"
1,"Amniota"
1,"Amniota"
3,"Amniota"
2,"Amniota"
9,"Amniota"
7,"Amniota"
4,"Amniota"
8,"Amniota"
12,"Amniota"
12,"Amniota"
2,"Amniota"
4,"Amniota"
4,"Amniota"
3,"Amniota"
6,"Amniota"
3,"Amniota"
7,"Amniota"
5,"Amniota"
4,"Amniota"
8,"Amniota"
2,"Amniota"
1,"Amniota"
5,"Amniota"
1,"Amniota"
7,"Amniota"
4,"Amniota"
8,"Amniota"
9,"Amniota"
5,"Amniota"
5,"Amniota"
3,"Amniota"
6,"Amniota"
5,"Amniota"
1,"Amniota"
1,"Amniota"
4,"Amniota"
4,"Amniota"
1,"Amniota"
6,"Amniota"
1,"Amniota"
6,"Amniota"
2,"Amniota"
3,"Amniota"
12,"Amniota"
3,"Amniota"
5,"Amniota"
3,"Amniota"
5,"Amniota"
9,"Amniota"
1,"Amniota"
1,"Amniota"
1,"Amniota"
5,"Amniota"
5,"Amniota"
2,"Amniota"
8,"Amniota"
8,"Amniota"
1,"Amniota"
2,"Amniota"
3,"Amniota"
2,"Amniota"
4,"Amniota"
4,"Amniota"
1,"Amniota"
5,"Amniota"
6,"Amniota"
3,"Amniota"
4,"Amniota"
1,"Amniota"
2,"Amniota"
2,"Amniota"
5,"Amniota"
8,"Amniota"
2,"Amniota"
1,"Amniota"
6,"Amniota"
7,"Amniota"
8,"Amniota"
5,"Amniota"
2,"Amniota"
5,"Amniota"
5,"Amniota"
1,"Amniota"
3,"Amniota"
2,"Amniota"
5,"Amniota"
3,"Amniota"
6,"Amniota"
5,"Amniota"
5,"Amniota"
6,"Amniota"
6,"Amniota"
5,"Amniota"
4,"Amniota"
2,"Amniota"
3,"Amniota"
4,"Amniota"
4,"Amniota"
4,"Amniota"
9,"Amniota"
8,"Amniota"
5,"Amniota"
6,"Amniota"
3,"Amniota"
6,"Amniota"
7,"Amniota"
2,"Amniota"
4,"Amniota"
11,"Amniota"
1,"Amniota"
2,"Amniota"
4,"Amniota"
