"","steps","plot"
"1",7,"Amniota"
"2",3,"Amniota"
"3",11,"Amniota"
"4",15,"Amniota"
"5",2,"Amniota"
"6",8,"Amniota"
"7",5,"Amniota"
"8",7,"Amniota"
"9",2,"Amniota"
"10",15,"Amniota"
"11",4,"Amniota"
"12",1,"Amniota"
"13",6,"Amniota"
"14",3,"Amniota"
"15",3,"Amniota"
"16",12,"Amniota"
"17",11,"Amniota"
"18",2,"Amniota"
"19",3,"Amniota"
"20",5,"Amniota"
"21",4,"Amniota"
"22",2,"Amniota"
"23",10,"Amniota"
"24",7,"Amniota"
"25",8,"Amniota"
"26",1,"Amniota"
"27",6,"Amniota"
"28",4,"Amniota"
"29",4,"Amniota"
"30",2,"Amniota"
"31",2,"Amniota"
"32",4,"Amniota"
"33",4,"Amniota"
"34",13,"Amniota"
"35",4,"Amniota"
"36",2,"Amniota"
"37",2,"Amniota"
"38",3,"Amniota"
"39",4,"Amniota"
"40",6,"Amniota"
"41",3,"Amniota"
"42",7,"Amniota"
"43",5,"Amniota"
"44",2,"Amniota"
"45",1,"Amniota"
"46",7,"Amniota"
"47",1,"Amniota"
"48",1,"Amniota"
"49",3,"Amniota"
"50",2,"Amniota"
"51",9,"Amniota"
"52",7,"Amniota"
"53",4,"Amniota"
"54",8,"Amniota"
"55",12,"Amniota"
"56",12,"Amniota"
"57",2,"Amniota"
"58",4,"Amniota"
"59",4,"Amniota"
"60",3,"Amniota"
"61",6,"Amniota"
"62",3,"Amniota"
"63",7,"Amniota"
"64",5,"Amniota"
"65",4,"Amniota"
"66",8,"Amniota"
"67",2,"Amniota"
"68",1,"Amniota"
"69",5,"Amniota"
"70",1,"Amniota"
"71",7,"Amniota"
"72",4,"Amniota"
"73",8,"Amniota"
"74",9,"Amniota"
"75",5,"Amniota"
"76",5,"Amniota"
"77",3,"Amniota"
"78",6,"Amniota"
"79",5,"Amniota"
"80",1,"Amniota"
"81",1,"Amniota"
"82",4,"Amniota"
"83",4,"Amniota"
"84",1,"Amniota"
"85",6,"Amniota"
"86",1,"Amniota"
"87",6,"Amniota"
"88",2,"Amniota"
"89",3,"Amniota"
"90",12,"Amniota"
"91",3,"Amniota"
"92",5,"Amniota"
"93",3,"Amniota"
"94",5,"Amniota"
"95",9,"Amniota"
"96",1,"Amniota"
"97",1,"Amniota"
"98",1,"Amniota"
"99",5,"Amniota"
"100",5,"Amniota"
"101",2,"Amniota"
"102",8,"Amniota"
"103",8,"Amniota"
"104",1,"Amniota"
"105",2,"Amniota"
"106",3,"Amniota"
"107",2,"Amniota"
"108",4,"Amniota"
"109",4,"Amniota"
"110",1,"Amniota"
"111",5,"Amniota"
"112",6,"Amniota"
"113",3,"Amniota"
"114",4,"Amniota"
"115",1,"Amniota"
"116",2,"Amniota"
"117",2,"Amniota"
"118",5,"Amniota"
"119",8,"Amniota"
"120",2,"Amniota"
"121",1,"Amniota"
"122",6,"Amniota"
"123",7,"Amniota"
"124",8,"Amniota"
"125",5,"Amniota"
"126",2,"Amniota"
"127",5,"Amniota"
"128",5,"Amniota"
"129",1,"Amniota"
"130",3,"Amniota"
"131",2,"Amniota"
"132",5,"Amniota"
"133",3,"Amniota"
"134",6,"Amniota"
"135",5,"Amniota"
"136",5,"Amniota"
"137",6,"Amniota"
"138",6,"Amniota"
"139",5,"Amniota"
"140",4,"Amniota"
"141",2,"Amniota"
"142",3,"Amniota"
"143",4,"Amniota"
"144",4,"Amniota"
"145",4,"Amniota"
"146",9,"Amniota"
"147",8,"Amniota"
"148",5,"Amniota"
"149",6,"Amniota"
"150",3,"Amniota"
"151",6,"Amniota"
"152",7,"Amniota"
"153",2,"Amniota"
"154",4,"Amniota"
"155",11,"Amniota"
"156",1,"Amniota"
"157",2,"Amniota"
"158",4,"Amniota"
"159",4,"Amniota"
"160",4,"Amniota"
"161",1,"Amniota"
"162",1,"Amniota"
"163",2,"Amniota"
"164",9,"Amniota"
"165",3,"Amniota"
"166",2,"Amniota"
"167",1,"Amniota"
"168",4,"Amniota"
"169",5,"Amniota"
"170",1,"Amniota"
"171",3,"Amniota"
"172",11,"Amniota"
"173",2,"Amniota"
"174",11,"Amniota"
"175",7,"Amniota"
"176",1,"Amniota"
"177",1,"Amniota"
"178",5,"Amniota"
"179",4,"Amniota"
"180",5,"Amniota"
"181",5,"Amniota"
"182",2,"Amniota"
"183",3,"Amniota"
